,Wheat Tonnes,Wheat Hectares,September Total Rainfall (mm),October Total Rainfall (mm),November Total Rainfall (mm),December Total Rainfall (mm),January Total Rainfall (mm),February Total Rainfall (mm),March Total Rainfall (mm),April Total Rainfall (mm),May Total Rainfall (mm),June Total Rainfall (mm),July Total Rainfall (mm),August Total Rainfall (mm),September Wet Day - 1mm or more of Rain (day),October Wet Day - 1mm or more of Rain (day),November Wet Day - 1mm or more of Rain (day),December Wet Day - 1mm or more of Rain (day),January Wet Day - 1mm or more of Rain (day),February Wet Day - 1mm or more of Rain (day),March Wet Day - 1mm or more of Rain (day),April Wet Day - 1mm or more of Rain (day),May Wet Day - 1mm or more of Rain (day),June Wet Day - 1mm or more of Rain (day),July Wet Day - 1mm or more of Rain (day),August Wet Day - 1mm or more of Rain (day),September Mean Air Temperature (Celsius),October Mean Air Temperature (Celsius),November Mean Air Temperature (Celsius),December Mean Air Temperature (Celsius),January Mean Air Temperature (Celsius),February Mean Air Temperature (Celsius),March Mean Air Temperature (Celsius),April Mean Air Temperature (Celsius),May Mean Air Temperature (Celsius),June Mean Air Temperature (Celsius),July Mean Air Temperature (Celsius),August Mean Air Temperature (Celsius),September Total Sunshine (hrs),October Total Sunshine (hrs),November Total Sunshine (hrs),December Total Sunshine (hrs),January Total Sunshine (hrs),February Total Sunshine (hrs),March Total Sunshine (hrs),April Total Sunshine (hrs),May Total Sunshine (hrs),June Total Sunshine (hrs),July Total Sunshine (hrs),August Total Sunshine (hrs),September Mean Wind Speed (M/Sec),October Mean Wind Speed (M/Sec),November Mean Wind Speed (M/Sec),December Mean Wind Speed (M/Sec),January Mean Wind Speed (M/Sec),February Mean Wind Speed (M/Sec),March Mean Wind Speed (M/Sec),April Mean Wind Speed (M/Sec),May Mean Wind Speed (M/Sec),June Mean Wind Speed (M/Sec),July Mean Wind Speed (M/Sec),August Mean Wind Speed (M/Sec),AMN_value,Bulk_density_value,TotalC_value,TotalN_value
47,2800.0,400.0,90.2,98.0,71.6,51.4,186.2,174.8,66.8,109.6,69.4,104.4,79.0,60.8,12.0,9.0,12.0,11.0,13.0,14.0,9.0,12.0,9.0,13.0,13.0,9.0,11.8,12.2,14.0,17.5,17.6,17.7,15.2,14.2,12.3,9.9,8.9,7.4,180.1,192.9,148.9,157.3,124.9,140.5,195.7,119.5,118.8,97.3,89.5,137.9,4.3,4.1,3.2,3.4,2.5,2.8,2.9,2.4,2.6,2.7,4.0,2.9,78.50236007,1.22,3.675442264,0.367750191
52,100.0,0.0,64.6,22.4,81.8,22.8,0.2,8.6,11.2,24.2,81.6,77.6,16.8,49.6,7.0,5.0,12.0,6.0,0.0,2.0,4.0,4.0,7.0,8.0,3.0,5.0,11.8,14.3,15.2,16.7,17.7,19.2,15.5,13.8,10.9,9.8,8.5,10.3,261.1,225.7,180.5,257.0,0.0,272.2,235.0,234.6,188.6,116.0,173.3,223.8,3.6,3.2,2.3,3.0,2.6,2.8,2.3,2.6,1.8,2.1,2.3,2.4,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37
53,1100.0,100.0,52.6,70.2,14.2,0.0,7.8,22.8,79.2,7.8,88.2,75.6,143.6,71.2,8.0,8.0,4.0,0.0,3.0,3.0,4.0,3.0,9.0,5.0,9.0,8.0,11.2,13.9,16.3,18.6,18.4,17.5,16.3,14.5,11.2,10.3,8.8,9.5,0.0,235.4,229.3,203.2,310.6,265.3,210.2,210.9,163.0,136.3,186.2,159.7,3.4,2.5,2.9,2.6,3.0,2.5,2.5,2.4,2.4,2.2,2.3,2.7,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37
54,200.0,0.0,38.6,16.8,72.6,49.8,12.6,153.4,17.0,9.6,47.8,80.4,220.6,112.4,6.0,3.0,10.0,8.0,2.0,7.0,3.0,1.0,6.0,12.0,13.0,10.0,11.6,12.9,16.5,16.6,18.3,17.3,16.3,14.7,12.5,9.5,8.9,10.2,196.4,248.7,258.8,235.9,0.0,157.3,239.5,240.8,185.6,138.9,117.1,157.2,2.5,2.9,3.0,2.2,2.4,2.1,1.9,2.1,2.3,2.4,2.2,2.5,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37
75,34300.0,4300.0,12.6,27.4,30.8,47.4,0.0,0.0,0.0,0.0,37.0,10.6,20.4,16.0,3.0,7.0,6.0,9.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,4.0,8.7,10.3,15.4,14.9,0.0,0.0,0.0,0.0,8.2,3.8,4.8,6.4,223.2,211.2,232.5,199.1,0.0,0.0,0.0,0.0,123.7,118.9,113.3,194.1,1.9,2.3,2.5,2.5,0.0,0.0,0.0,0.0,1.4,1.3,1.1,1.8,126.0,0.774840899,6.5,0.24
76,43700.0,4500.0,17.0,26.8,29.2,34.2,6.6,80.6,18.4,22.0,2.0,38.6,14.0,24.6,5.0,5.0,6.0,8.0,1.0,3.0,5.0,7.0,1.0,4.0,4.0,3.0,8.8,12.3,14.3,15.9,18.1,17.7,13.1,11.1,7.4,3.8,3.5,7.2,199.1,225.3,255.0,246.2,281.8,231.5,206.2,183.5,125.3,116.1,119.3,187.3,2.1,2.4,2.4,2.5,2.8,2.5,1.8,1.5,1.3,1.3,1.2,1.5,126.0,0.774840899,6.5,0.24
77,34900.0,3700.0,35.4,30.6,40.2,42.2,122.2,9.4,6.8,11.2,27.0,28.0,27.4,21.4,4.0,5.0,7.0,9.0,8.0,2.0,1.0,4.0,6.0,7.0,4.0,4.0,9.3,12.6,15.0,16.6,16.7,17.9,15.2,11.8,7.1,5.9,4.4,7.1,224.8,219.3,237.4,206.1,246.9,238.3,0.0,188.5,174.9,90.9,143.1,166.7,2.0,1.9,2.3,2.4,2.5,2.2,1.9,1.7,1.4,1.1,1.2,1.6,126.0,0.774840899,6.5,0.24
78,53400.0,5100.0,10.0,46.4,45.4,15.8,11.8,74.2,6.8,16.2,18.2,23.6,67.8,41.2,4.0,7.0,7.0,7.0,3.0,8.0,2.0,4.0,5.0,6.0,10.0,6.0,9.4,11.3,15.4,17.1,18.7,16.8,16.6,11.0,8.9,4.2,3.7,6.7,0.0,247.7,216.5,235.7,288.2,211.2,248.8,198.8,167.0,103.8,112.5,195.1,1.5,2.0,2.2,2.3,2.4,2.1,1.7,1.5,1.3,1.3,1.1,1.3,126.0,0.774840899,6.5,0.24
79,40400.0,4500.0,54.2,26.6,30.6,20.2,31.4,39.0,28.8,25.4,56.8,16.2,16.8,15.4,4.0,7.0,6.0,4.0,4.0,5.0,5.0,6.0,10.0,5.0,7.0,3.0,10.4,12.0,14.0,17.9,19.6,18.6,14.4,11.4,8.5,3.2,5.6,5.9,226.4,256.8,227.3,267.3,305.4,245.0,223.5,209.6,121.0,87.0,153.0,185.7,2.2,2.3,2.1,2.7,2.1,2.0,1.7,1.4,1.2,1.1,1.6,1.3,126.0,0.774840899,6.5,0.24
87,100.0,0.0,181.6,111.4,138.6,140.8,176.2,149.4,166.6,233.8,342.8,72.4,57.6,125.6,16.0,14.0,13.0,13.0,12.0,10.0,10.0,11.0,19.0,8.0,13.0,13.0,10.6,11.2,12.7,15.9,17.1,16.4,14.2,13.6,12.4,9.1,8.9,7.0,175.1,174.7,172.8,170.5,0.0,135.7,207.1,146.7,86.4,127.9,97.7,137.7,3.6,3.2,3.2,3.1,2.9,3.2,2.6,2.8,3.4,2.6,3.8,2.4,125.0995865,1.023333333,5.785668617,0.525916787
115,1400.0,100.0,72.0,60.6,165.6,34.8,9.4,17.8,74.4,76.4,77.2,111.0,105.8,0.0,12.0,11.0,14.0,7.0,2.0,2.0,8.0,8.0,8.0,12.0,11.0,0.0,11.4,14.0,15.7,16.6,18.3,20.0,17.0,14.4,11.3,11.1,9.3,10.4,168.1,148.2,176.5,245.3,279.3,0.0,199.4,195.1,153.7,88.3,116.8,146.1,4.0,2.9,3.8,3.4,3.4,2.9,3.1,2.6,2.5,3.0,3.0,3.3,390.7407687,0.728666667,10.43460142,1.074549114
125,1700.0,200.0,88.6,43.0,76.0,109.0,7.4,249.0,29.4,6.4,42.2,73.8,195.7,65.8,14.0,6.0,7.0,9.0,3.0,10.0,4.0,2.0,8.0,11.0,14.0,6.0,11.0,12.2,16.6,17.3,18.3,18.0,16.7,13.9,12.2,10.2,9.3,10.8,118.5,158.7,181.8,167.8,264.0,101.2,134.1,171.7,129.2,83.5,70.0,90.1,3.7,4.2,4.3,2.9,3.2,3.1,2.7,2.8,2.7,3.3,3.6,3.6,150.0,0.76,8.51,0.786934425
